Sales Person,Country,Product,Date,Amount,Boxes Shipped,Revenue per Box,Month
Jehu Rudeforth,UK,Mint Chip Choco,2022-01-04,5320.0,180,30.0,1
Van Tuxwell,India,85% Dark Bars,2022-08-01,7896.0,94,84.0,8
Gigi Bohling,India,Peanut Butter Cubes,2022-07-07,4501.0,91,49.0,7
Jan Morforth,Australia,Peanut Butter Cubes,2022-04-27,12726.0,342,37.0,4
Jehu Rudeforth,UK,Peanut Butter Cubes,2022-02-24,13685.0,184,74.0,2
Van Tuxwell,India,Smooth Sliky Salty,2022-06-06,5376.0,38,141.0,6
Oby Sorrel,UK,99% Dark & Pure,2022-01-25,13685.0,176,78.0,1
Gunar Cockshoot,Australia,After Nines,2022-03-24,3080.0,73,42.0,3
Jehu Rudeforth,New Zealand,50% Dark Bites,2022-04-20,3990.0,59,68.0,4
Brien Boise,Australia,99% Dark & Pure,2022-07-04,2835.0,102,28.0,7
Rafaelita Blaksland,UK,Smooth Sliky Salty,2022-01-13,4704.0,62,76.0,1
Barr Faughny,USA,Orange Choco,2022-03-10,3703.0,11,337.0,3
Mallorie Waber,Canada,Eclairs,2022-01-13,1442.0,286,5.0,1
Karlen McCaffrey,New Zealand,Drinking Coco,2022-07-28,168.0,156,1.0,7
Marney O'Breen,New Zealand,Peanut Butter Cubes,2022-08-03,8379.0,173,48.0,8
Beverie Moffet,Australia,Organic Choco Syrup,2022-01-26,6790.0,356,19.0,1
Van Tuxwell,Canada,Organic Choco Syrup,2022-02-14,4067.0,42,97.0,2
Roddy Speechley,USA,Smooth Sliky Salty,2022-04-05,3017.0,140,22.0,4
Beverie Moffet,Canada,Milk Bars,2022-02-16,8799.0,250,35.0,2
Curtice Advani,UK,85% Dark Bars,2022-06-08,1085.0,172,6.0,6
Brien Boise,Australia,Eclairs,2022-06-27,6888.0,88,78.0,6
Gunar Cockshoot,USA,Spicy Special Slims,2022-02-17,1267.0,157,8.0,2
Marney O'Breen,USA,After Nines,2022-05-30,4753.0,163,29.0,5
Husein Augar,UK,Drinking Coco,2022-03-14,3003.0,113,27.0,3
